b0:be:76:f8:30:5e,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,80:8d:b7:55:35:13,b8:27:eb:9f:6b:77,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,ea:9e:b4:53:24:54,80:8d:b7:55:35:12,80:8d:b7:55:35:11,38:17:c3:1f:01:82,38:17:c3:1f:01:81,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,80:8d:b7:55:35:03,38:17:c3:1f:01:92,38:17:c3:1f:01:91,44:48:c1:a5:82:32,44:48:c1:a5:82:31,80:8d:b7:55:35:02,80:8d:b7:55:35:01,44:48:c1:a5:82:21,80:8d:b7:55:25:e3,44:48:c1:a5:82:22,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:25:f1,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,38:17:c3:19:d7:61,ac:e2:d3:c4:08:e6,38:17:c3:19:d7:62,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,38:17:c3:19:45:b1,38:17:c3:19:45:b2,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,b4:5d:50:e1:92:23,00:4e:35:df:06:41,38:17:c3:19:55:52,b4:5d:50:e1:92:33,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,60:32:b1:3e:1a:b8,38:17:c3:1f:0e:10,80:8d:b7:55:35:10,38:17:c3:1f:0e:00,80:8d:b7:55:39:d0,80:8d:b7:55:39:c0,80:8d:b7:55:35:00,38:17:c3:1f:01:90,44:48:c1:a5:82:30,44:48:c1:a5:82:20,38:17:c3:19:d7:70,80:8d:b7:55:25:f0,80:8d:b7:55:25:e0,80:8d:b7:55:3a:50,38:17:c3:19:45:b0,20:a6:cd:50:24:b0,38:17:c3:1e:ff:00,b4:5d:50:e1:92:31,00:4e:35:df:06:42,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,38:17:c3:19:55:51,00:4e:35:df:06:40,b4:5d:50:e1:92:20,b4:5d:50:e1:92:32,b4:5d:50:e1:96:43,38:17:c3:1f:01:80,80:8d:b7:55:3a:40,38:17:c3:19:55:50,66:2a:2f:53:7c:99,b4:5d:50:e1:92:21,b4:5d:50:e1:92:22,b4:5d:50:e1:92:30,00:4e:35:df:06:51,38:17:c3:1e:ff:10,00:4e:35:df:06:52,00:4e:35:de:e1:12,b4:5d:50:e1:96:53,20:a6:cd:50:24:a0,38:17:c3:19:d7:60,38:17:c3:19:45:a1,38:17:c3:19:45:a2,00:4e:35:df:06:50,20:a6:cd:42:0b:f3,38:17:c3:19:45:a0,20:a6:cd:42:0b:f0,38:17:c3:19:55:41,38:17:c3:19:55:40,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:1f:09:83,20:a6:cd:42:0b:e3,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,b4:5d:50:e1:96:50,00:4e:35:de:e1:02,38:17:c3:19:55:42,00:4e:35:de:e1:00,a8:bd:27:4c:bd:30,00:4e:35:de:e1:10,00:4e:35:de:e1:11,00:4e:35:de:e1:01,60:32:b1:3e:1a:b7,38:17:c3:1f:08:40,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:32,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1f:08:42,a8:bd:27:4c:bd:31,00:4e:35:de:d7:53,38:17:c3:1f:22:21,38:17:c3:1f:08:41,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,00:4e:35:de:d7:50,00:4e:35:de:d7:52,00:4e:35:de:d7:51,38:17:c3:19:71:90,38:17:c3:19:71:82,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:1f:22:30,00:4e:35:de:d7:43,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:1f:08:50,00:4e:35:df:0e:12,00:4e:35:df:0e:01,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,00:4e:35:df:0e:11,00:4e:35:df:0e:10,00:4e:35:df:0e:02,00:4e:35:df:0e:00,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b2,64:e5:99:c3:13:3c,38:17:c3:24:58:a0,38:17:c3:24:58:a2,38:17:c3:24:4f:10,38:17:c3:1e:fc:b1,38:17:c3:24:58:a1,00:4e:35:df:27:00,38:17:c3:24:58:b0,38:17:c3:1f:0f:90,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:4f:12,38:17:c3:24:4f:02,38:17:c3:24:4f:01,38:17:c3:24:4f:11,38:17:c3:24:4f:00,38:17:c3:1b:08:a2,38:17:c3:1b:08:b0,38:17:c3:1b:08:b1,38:17:c3:1b:08:a1,00:4e:35:de:d7:40,00:4e:35:de:d7:41,00:4e:35:de:d7:42,38:17:c3:1b:08:a0,x,y,label
-43,-84,-84,-88,-31,-80,-80,-74,-100,-100,-100,-100,-77,-77,-81,-100,-100,-85,-86,-100,-100,-79,-71,-78,-100,-100,-79,-79,-79,-73,-73,-100,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-63,-61,-100,-100,-100,-100,-83,-88,-100,-77,-74,-100,-100,-86,-83,-100,-79,-73,-81,-100,-100,-100,-100,-63,-74,-74,-66,-66,-61,-63,-100,-100,-100,-100,-66,-61,-100,-100,-100,-100,-64,-100,-64,-86,-100,-100,-100,-100,-100,-64,-100,-100,-100,-61,-61,-100,-100,-100,-100,-100,-100,-100,-71,-61,-71,-73,-86,-85,-72,-100,-100,-71,-73,-100,-100,-100,-73,-100,-100,-100,-70,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,700.2000000000004,31
-40,-86,-85,-100,-30,-100,-100,-82,-100,-100,-100,-100,-83,-82,-85,-100,-100,-86,-86,-100,-100,-82,-74,-82,-100,-100,-80,-81,-81,-74,-74,-100,-100,-100,-82,-82,-100,-100,-100,-100,-100,-100,-100,-60,-66,-100,-100,-100,-100,-85,-100,-83,-83,-76,-100,-100,-86,-84,-100,-81,-100,-82,-100,-100,-100,-100,-60,-78,-78,-67,-68,-65,-55,-100,-100,-100,-100,-67,-66,-100,-100,-100,-100,-69,-100,-69,-81,-100,-100,-100,-100,-100,-69,-100,-100,-100,-65,-65,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-69,-81,-81,-100,-100,-100,-100,-69,-100,-100,-100,-69,-100,-100,-100,-67,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-82,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,714.4000000000004,32
-38,-76,-76,-100,-30,-100,-100,-76,-88,-100,-100,-100,-81,-80,-85,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-85,-85,-85,-77,-77,-100,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-63,-70,-100,-100,-100,-100,-76,-100,-100,-80,-77,-100,-100,-85,-100,-100,-85,-100,-79,-100,-100,-100,-100,-63,-77,-77,-71,-71,-70,-63,-100,-100,-100,-100,-71,-71,-88,-100,-100,-100,-74,-100,-74,-85,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-74,-66,-82,-86,-74,-100,-100,-66,-66,-100,-100,-100,-66,-100,-100,-100,-66,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,728.6000000000005,33
-36,-81,-81,-89,-29,-100,-100,-74,-100,-89,-100,-100,-80,-80,-83,-100,-100,-83,-84,-100,-100,-82,-79,-100,-100,-100,-100,-100,-100,-81,-81,-100,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-67,-71,-100,-100,-100,-100,-81,-90,-100,-80,-80,-100,-100,-83,-81,-100,-100,-82,-81,-100,-100,-100,-100,-66,-80,-100,-71,-72,-71,-67,-100,-100,-100,-100,-73,-72,-88,-100,-100,-100,-76,-100,-76,-88,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-79,-63,-88,-88,-79,-100,-100,-67,-63,-100,-100,-100,-63,-100,-100,-100,-67,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,742.8000000000005,34
-43,-85,-82,-100,-31,-100,-100,-76,-100,-100,-100,-100,-83,-83,-82,-100,-100,-86,-100,-100,-100,-86,-81,-100,-100,-100,-82,-81,-82,-100,-78,-100,-100,-100,-82,-82,-100,-100,-100,-100,-100,-100,-100,-66,-72,-100,-100,-100,-100,-83,-100,-80,-83,-100,-100,-100,-87,-100,-100,-82,-79,-83,-100,-100,-100,-100,-66,-100,-100,-77,-77,-72,-65,-100,-100,-100,-100,-77,-71,-87,-100,-100,-100,-70,-100,-70,-85,-100,-100,-100,-100,-100,-70,-100,-100,-100,-71,-71,-100,-100,-100,-100,-100,-100,-100,-76,-71,-78,-66,-84,-100,-78,-100,-100,-69,-65,-100,-100,-100,-65,-100,-100,-100,-68,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,757.0000000000006,35
-42,-81,-82,-100,-35,-79,-100,-77,-100,-100,-100,-100,-80,-80,-100,-100,-100,-85,-84,-100,-100,-100,-78,-100,-100,-100,-85,-88,-100,-76,-76,-100,-100,-100,-85,-85,-100,-100,-100,-100,-100,-100,-100,-68,-72,-100,-100,-100,-100,-82,-100,-79,-80,-83,-100,-100,-85,-100,-100,-87,-76,-85,-100,-100,-100,-100,-68,-100,-83,-78,-78,-72,-68,-100,-100,-100,-100,-74,-72,-85,-100,-100,-100,-76,-100,-76,-85,-100,-100,-100,-100,-100,-76,-100,-100,-100,-74,-74,-100,-100,-100,-100,-100,-100,-100,-80,-74,-100,-69,-85,-86,-100,-100,-100,-100,-68,-100,-100,-100,-68,-100,-100,-100,-66,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-82,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,771.2000000000006,36
-39,-78,-78,-100,-31,-100,-100,-75,-100,-100,-100,-100,-81,-82,-100,-100,-100,-83,-83,-100,-100,-84,-76,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-100,-100,-100,-100,-100,-100,-100,-69,-73,-100,-100,-100,-100,-78,-100,-100,-81,-81,-100,-100,-83,-100,-100,-100,-76,-84,-100,-100,-100,-100,-69,-100,-100,-77,-100,-73,-69,-100,-100,-100,-100,-100,-72,-87,-100,-100,-100,-74,-100,-74,-91,-100,-100,-100,-100,-100,-74,-100,-100,-100,-71,-69,-100,-100,-100,-100,-100,-100,-100,-80,-71,-80,-63,-100,-100,-80,-100,-100,-66,-63,-100,-100,-100,-63,-100,-100,-100,-65,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-81,-80,-100,-100,-100,-100,-100,-100,-71,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,785.4000000000007,37
-48,-82,-82,-100,-29,-100,-100,-77,-100,-100,-100,-100,-82,-83,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-83,-84,-100,-100,-100,-100,-100,-100,-100,-72,-77,-100,-100,-100,-100,-83,-100,-100,-82,-100,-100,-100,-84,-100,-100,-100,-100,-84,-100,-100,-100,-100,-72,-100,-100,-79,-79,-77,-72,-100,-100,-100,-100,-79,-77,-83,-100,-100,-100,-76,-100,-76,-86,-100,-100,-100,-100,-100,-76,-100,-100,-100,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-58,-100,-100,-100,-100,-100,-62,-58,-100,-100,-100,-57,-100,-100,-100,-62,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,799.6000000000007,38
-42,-100,-100,-100,-33,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-91,-100,-100,-100,-100,-80,-100,-100,-100,-100,-79,-80,-100,-100,-100,-100,-100,-79,-84,-100,-100,-100,-76,-100,-76,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-53,-100,-100,-100,-100,-100,-54,-53,-100,-100,-100,-53,-100,-100,-100,-54,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-80,-80,-88,-100,-79,-100,-86,-100,-86,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,530.8,799.6000000000007,39
-43,-100,-100,-100,-29,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-87,-100,-100,-100,-100,-100,-100,-100,-69,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-69,-100,-100,-100,-82,-83,-69,-100,-100,-100,-100,-100,-83,-85,-100,-100,-100,-82,-100,-82,-89,-100,-100,-100,-100,-100,-82,-100,-100,-100,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-52,-100,-100,-100,-100,-100,-51,-52,-100,-100,-100,-52,-100,-100,-100,-51,-51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-100,-100,-100,-78,-80,-81,-88,-100,-82,-100,-90,-100,-100,-100,-88,-84,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,516.5999999999999,799.6000000000007,40
-43,-100,-100,-100,-30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-73,-100,-100,-100,-100,-86,-73,-100,-100,-100,-100,-100,-87,-81,-100,-100,-100,-84,-100,-84,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-47,-100,-100,-79,-100,-100,-46,-47,-100,-100,-100,-47,-100,-100,-100,-46,-46,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-81,-80,-87,-100,-79,-100,-85,-100,-100,-85,-87,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,502.3999999999999,799.6000000000007,41
-44,-100,-100,-100,-33,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-82,-69,-100,-100,-100,-100,-100,-82,-81,-100,-100,-100,-73,-100,-73,-90,-100,-100,-100,-100,-100,-73,-100,-100,-100,-82,-82,-100,-100,-100,-100,-100,-100,-100,-82,-82,-80,-43,-90,-100,-82,-100,-100,-50,-43,-100,-100,-100,-43,-100,-100,-100,-50,-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-84,-84,-86,-100,-83,-100,-91,-100,-91,-90,-87,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,488.19999999999993,799.6000000000007,42
-49,-100,-100,-100,-29,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-91,-100,-100,-100,-100,-100,-100,-100,-73,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-73,-100,-100,-100,-100,-84,-73,-100,-100,-100,-100,-100,-85,-89,-100,-100,-100,-81,-100,-81,-89,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-79,-100,-78,-46,-89,-89,-78,-100,-100,-44,-46,-100,-100,-100,-46,-100,-100,-100,-43,-44,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-80,-80,-86,-100,-80,-100,-87,-100,-87,-87,-86,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,474.0,799.6000000000007,43
-46,-100,-100,-100,-37,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-83,-88,-82,-100,-100,-100,-82,-100,-82,-87,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-52,-87,-87,-81,-100,-100,-50,-52,-100,-100,-100,-52,-100,-100,-100,-100,-50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-81,-82,-89,-100,-100,-100,-90,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,459.8,799.6000000000007,44
-49,-100,-100,-100,-28,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-81,-80,-88,-69,-100,-100,-100,-100,-81,-88,-84,-100,-100,-100,-75,-100,-76,-85,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-86,-79,-48,-85,-85,-79,-100,-100,-51,-48,-100,-100,-100,-48,-100,-100,-100,-51,-51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-81,-89,-100,-81,-100,-86,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,445.6,799.6000000000007,45
-53,-100,-100,-100,-27,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-78,-100,-79,-83,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-78,-44,-83,-84,-78,-100,-100,-45,-45,-100,-100,-100,-44,-100,-100,-100,-45,-45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,431.4,799.6000000000007,46
-46,-100,-100,-100,-35,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-68,-100,-100,-83,-100,-100,-68,-100,-100,-100,-100,-84,-88,-75,-100,-100,-100,-79,-100,-78,-81,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-77,-53,-79,-80,-77,-100,-100,-58,-53,-100,-100,-100,-53,-100,-100,-100,-58,-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-84,-100,-100,-100,-84,-100,-89,-100,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,417.2,799.6000000000007,47
-58,-100,-100,-100,-29,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-79,-100,-79,-80,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-79,-49,-80,-81,-80,-100,-100,-44,-49,-100,-100,-100,-49,-100,-100,-100,-43,-43,-100,-100,-100,-100,-100,-84,-85,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-82,-81,-100,-100,-82,-100,-89,-100,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,403.0,799.6000000000007,48
-49,-100,-100,-100,-31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-61,-100,-100,-83,-83,-100,-61,-100,-100,-100,-100,-79,-88,-78,-100,-100,-100,-82,-100,-82,-77,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-72,-51,-77,-77,-72,-100,-100,-47,-51,-100,-100,-100,-51,-100,-100,-100,-47,-47,-100,-100,-100,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-86,-87,-100,-100,-100,-100,-82,-100,-100,-83,-100,-88,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,388.8,799.6000000000007,49
-51,-100,-100,-100,-31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-84,-100,-100,-68,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-82,-100,-82,-83,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-76,-52,-83,-82,-76,-100,-100,-56,-52,-100,-100,-100,-52,-100,-100,-100,-56,-56,-100,-100,-100,-100,-85,-83,-86,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-81,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,374.6,799.6000000000007,50
-55,-100,-100,-100,-35,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-85,-100,-85,-78,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-73,-54,-78,-78,-73,-100,-100,-55,-53,-100,-100,-100,-53,-100,-100,-100,-55,-55,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-87,-100,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,360.4,799.6000000000007,51
