b8:27:eb:9f:6b:77,ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,38:17:c3:1f:0e:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,38:17:c3:1f:0e:10,80:8d:b7:55:35:01,80:8d:b7:55:35:00,80:8d:b7:55:35:02,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:39:d2,80:8d:b7:55:35:10,80:8d:b7:55:39:d1,80:8d:b7:55:35:03,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:39:d0,38:17:c3:1f:01:91,38:17:c3:1f:01:90,80:8d:b7:55:25:e3,38:17:c3:1f:01:92,38:17:c3:1f:01:81,80:8d:b7:55:25:e1,00:4e:35:df:06:40,80:8d:b7:55:25:f2,80:8d:b7:55:25:f0,80:8d:b7:55:25:f3,44:48:c1:a5:82:21,80:8d:b7:55:25:f1,00:4e:35:df:06:42,00:4e:35:df:06:41,44:48:c1:a5:82:22,80:8d:b7:55:3a:51,38:17:c3:19:d7:72,44:48:c1:a5:82:20,80:8d:b7:55:3a:50,80:8d:b7:55:3a:52,44:48:c1:a5:82:31,38:17:c3:19:d7:71,38:17:c3:19:d7:70,20:a6:cd:50:24:a2,38:17:c3:19:d7:61,44:48:c1:a5:82:30,38:17:c3:19:d7:60,44:48:c1:a5:82:32,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,00:4e:35:df:06:52,00:4e:35:df:06:51,38:17:c3:1e:ff:12,20:a6:cd:50:24:b0,ac:e2:d3:c4:08:e6,80:8d:b7:55:35:13,b0:be:76:f8:30:5e,38:17:c3:1f:01:82,80:8d:b7:55:39:c0,80:8d:b7:55:25:e0,80:8d:b7:55:25:e2,20:a6:cd:50:24:b2,00:4e:35:df:06:50,38:17:c3:19:45:b0,80:8d:b7:55:3a:41,38:17:c3:19:d7:62,80:8d:b7:55:3a:40,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,66:2a:2f:53:7c:99,38:17:c3:1f:01:80,80:8d:b7:55:3a:42,20:a6:cd:50:24:b1,38:17:c3:19:45:b2,72:32:b1:3e:1a:b7,72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b8,38:17:c3:19:55:50,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,38:17:c3:1e:ff:00,38:17:c3:19:45:a1,38:17:c3:19:55:51,b4:5d:50:e1:92:31,b4:5d:50:e1:92:33,68:ff:7b:e4:af:39,38:17:c3:1f:09:83,38:17:c3:19:45:b1,38:17:c3:19:45:a0,00:4e:35:de:e1:12,b4:5d:50:e1:92:23,38:17:c3:1f:22:31,38:17:c3:1f:22:30,38:17:c3:19:45:a2,60:32:b1:3e:1a:b7,38:17:c3:19:55:52,b4:5d:50:e1:92:22,b4:5d:50:e1:92:21,38:17:c3:1f:08:50,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,00:4e:35:de:e1:11,00:4e:35:de:e1:01,00:4e:35:de:e1:00,00:4e:35:de:e1:10,00:4e:35:de:e1:02,b4:5d:50:e1:92:20,44:48:c1:91:95:b3,44:48:c1:91:95:b2,38:17:c3:1f:08:51,38:17:c3:1f:08:52,00:4e:35:de:d7:52,38:17:c3:1f:22:20,00:4e:35:de:d7:53,00:4e:35:de:d7:51,00:4e:35:de:d7:50,68:ff:7b:e4:af:38,00:4e:35:df:0e:12,38:17:c3:19:71:91,38:17:c3:19:71:90,38:17:c3:19:55:42,38:17:c3:19:55:41,38:17:c3:19:55:40,00:4e:35:de:d7:41,38:17:c3:19:71:92,38:17:c3:1f:22:32,38:17:c3:1f:08:41,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,38:17:c3:1f:22:21,38:17:c3:1f:08:40,38:17:c3:1f:08:42,a8:bd:27:4c:bd:30,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,00:4e:35:df:0e:11,00:4e:35:df:0e:10,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b0,00:4e:35:df:0e:01,00:4e:35:df:0e:02,38:17:c3:1e:fc:a0,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:4f:10,38:17:c3:24:4f:01,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:1b:08:b0,38:17:c3:19:71:82,38:17:c3:19:71:80,38:17:c3:19:71:81,00:4e:35:df:0e:00,00:4e:35:de:d7:43,00:4e:35:de:d7:42,00:4e:35:de:d7:40,x,y,label
-35,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-85,-87,-86,-87,-100,-100,-82,-87,-100,-100,-82,-100,-100,-81,-71,-81,-80,-79,-100,-79,-70,-70,-100,-70,-100,-100,-70,-70,-88,-100,-100,-100,-100,-86,-100,-100,-100,-100,-64,-64,-100,-100,-100,-87,-57,-100,-84,-81,-80,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-79,-80,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-72,-100,-73,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,714.4000000000004,32
-39,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-81,-89,-81,-100,-100,-100,-81,-100,-100,-81,-100,-100,-100,-70,-75,-76,-75,-100,-77,-67,-70,-100,-75,-100,-100,-73,-73,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-64,-64,-100,-100,-100,-89,-47,-100,-100,-100,-100,-100,-64,-100,-78,-100,-76,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-83,-83,-82,-84,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-73,-74,-100,-100,-100,-100,-68,-69,-70,-100,-100,-100,-71,-71,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,728.6000000000005,33
-41,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-83,-90,-100,-100,-100,-100,-100,-100,-71,-80,-84,-85,-87,-84,-71,-69,-88,-78,-100,-86,-78,-78,-88,-100,-100,-100,-100,-89,-100,-100,-100,-100,-68,-69,-100,-100,-100,-88,-40,-100,-83,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-84,-81,-82,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-76,-100,-100,-100,-100,-69,-71,-70,-100,-100,-100,-67,-66,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,742.8000000000005,34
-29,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-87,-86,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-69,-83,-83,-82,-100,-82,-68,-69,-100,-79,-100,-100,-79,-78,-89,-100,-100,-100,-100,-91,-100,-100,-100,-100,-72,-72,-100,-100,-100,-90,-55,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-91,-100,-80,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-81,-83,-83,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-75,-73,-100,-100,-100,-100,-67,-66,-65,-100,-100,-100,-71,-72,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,757.0000000000006,35
-48,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-86,-100,-85,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-68,-87,-86,-87,-100,-86,-69,-69,-100,-80,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-71,-100,-100,-100,-100,-42,-100,-100,-86,-100,-100,-72,-100,-78,-100,-79,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-86,-84,-84,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-77,-75,-100,-100,-100,-100,-69,-70,-71,-100,-100,-100,-74,-73,-73,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,771.2000000000006,36
-42,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-88,-88,-100,-100,-87,-87,-100,-100,-100,-100,-100,-82,-100,-100,-100,-85,-100,-100,-100,-75,-100,-79,-100,-100,-80,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-74,-100,-100,-100,-90,-40,-100,-78,-83,-100,-100,-75,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-80,-100,-100,-88,-100,-100,-100,-87,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-77,-77,-100,-100,-100,-100,-68,-69,-68,-100,-100,-100,-68,-69,-69,-100,-100,-100,-100,-83,-83,-84,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,785.4000000000007,37
-31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-83,-100,-88,-100,-100,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-75,-100,-100,-100,-100,-47,-100,-100,-100,-100,-100,-76,-100,-88,-100,-100,-100,-100,-87,-100,-87,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-85,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-61,-61,-100,-100,-100,-65,-65,-65,-100,-100,-100,-100,-87,-87,-88,-100,-100,-100,-100,-85,-100,-100,-100,-85,-86,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,799.6000000000007,38
-32,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-79,-78,-100,-100,-100,-100,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-83,-100,-100,-100,-100,-50,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-58,-57,-58,-100,-100,-100,-60,-60,-60,-100,-100,-100,-100,-85,-85,-85,-100,-100,-100,-81,-86,-100,-100,-100,-84,-86,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,530.8,799.6000000000007,39
-32,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-76,-100,-100,-100,-100,-100,-77,-77,-100,-85,-100,-100,-86,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-74,-100,-100,-100,-100,-42,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-52,-52,-51,-100,-100,-100,-62,-62,-62,-100,-100,-100,-100,-82,-81,-82,-100,-100,-100,-79,-85,-100,-100,-100,-84,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,516.5999999999999,799.6000000000007,40
-31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-76,-75,-100,-89,-100,-100,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-74,-100,-100,-100,-100,-56,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-83,-85,-100,-100,-100,-100,-57,-58,-58,-100,-100,-100,-61,-62,-62,-100,-100,-100,-100,-89,-88,-88,-100,-100,-100,-71,-83,-100,-100,-100,-82,-82,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,502.3999999999999,799.6000000000007,41
-41,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-74,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-75,-100,-100,-100,-100,-45,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-57,-59,-58,-100,-100,-100,-60,-59,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-85,-100,-88,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,488.19999999999993,799.6000000000007,42
-35,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-75,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-75,-100,-100,-100,-100,-57,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-59,-60,-100,-100,-100,-57,-58,-57,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-81,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,474.0,799.6000000000007,43
-45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-75,-100,-100,-100,-100,-53,-100,-100,-100,-100,-100,-74,-100,-100,-100,-89,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-81,-100,-84,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-50,-50,-50,-100,-100,-100,-54,-54,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-88,-86,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,459.8,799.6000000000007,44
-41,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-79,-79,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-75,-100,-100,-100,-100,-53,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-81,-81,-87,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-47,-47,-47,-100,-100,-100,-55,-55,-55,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-88,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,445.6,799.6000000000007,45
-40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-79,-80,-100,-87,-100,-100,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-81,-100,-100,-100,-100,-60,-100,-100,-100,-100,-100,-80,-100,-86,-100,-86,-100,-100,-80,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-80,-80,-82,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-52,-53,-52,-100,-100,-100,-52,-52,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,431.4,799.6000000000007,46
-44,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-75,-76,-100,-88,-100,-100,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-79,-100,-100,-100,-100,-60,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-78,-78,-77,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-49,-49,-49,-100,-100,-100,-51,-51,-51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-87,-100,-100,-100,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,417.2,799.6000000000007,47
-29,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-77,-75,-100,-88,-100,-100,-90,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-71,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-78,-77,-73,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-49,-48,-49,-100,-100,-100,-51,-51,-51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,403.0,799.6000000000007,48
-29,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-75,-75,-100,-84,-100,-100,-87,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-75,-100,-100,-100,-100,-55,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-75,-76,-72,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-47,-47,-47,-100,-100,-100,-52,-53,-51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-88,-87,-100,-100,-100,-100,388.8,799.6000000000007,49
-48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-76,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-77,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-78,-77,-69,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-51,-49,-50,-100,-100,-100,-50,-50,-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,374.6,799.6000000000007,50
-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-79,-78,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-81,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-85,-85,-72,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-56,-56,-56,-100,-100,-100,-54,-53,-53,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-83,-100,-100,-100,360.4,799.6000000000007,51
-44,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-78,-78,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-78,-100,-100,-100,-100,-57,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-79,-79,-79,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-57,-58,-58,-100,-100,-100,-51,-50,-51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,346.20000000000005,799.6000000000007,52
-31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-63,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-78,-78,-77,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-62,-62,-100,-100,-100,-53,-53,-53,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-82,-88,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,332.00000000000006,799.6000000000007,53
